"","Number","Weight (N)","Stature (mm)","Head circumference (mm)","Shoulder breadth (mm)","Hand length (mm)","Hand breadth (mm)","Chest circumference (mm)","Waist circumference (mm)","Foot length (mm)","Foot breadth (mm)","Age (months)"
"882",882,327,1419,533,332,156,65,662,582,221,76,125
"883",883,465,1433,540,424,153,70,852,773,216,89,125
"884",884,319,1443,525,316,157,72,678,540,219,85,125
"885",885,337,1451,530,341,162,71,685,576,230,86,125
"886",886,316,1329,519,318,148,70,676,584,209,75,126
"887",887,297,1347,513,314,142,64,637,563,206,78,126
"888",888,387,1359,520,347,151,68,758,652,228,92,126
"889",889,334,1379,546,340,146,64,703,665,209,86,126
"890",890,334,1403,519,330,156,75,705,605,224,87,126
"891",891,354,1412,530,332,153,69,696,651,215,82,126
"892",892,382,1445,522,343,156,73,716,663,224,90,126
"893",893,390,1453,557,336,161,69,676,667,221,91,126
"894",894,608,1566,530,429,174,76,881,832,241,98,126
"895",895,320,1365,512,334,139,63,664,599,200,79,127
"896",896,311,1379,503,323,148,67,704,605,226,83,127
"897",897,340,1409,523,326,152,61,647,596,213,84,127
"898",898,365,1411,530,340,156,70,724,620,223,87,127
"899",899,383,1459,539,348,162,77,736,667,235,84,127
"900",900,334,1485,541,327,152,71,664,571,225,89,127
"901",901,407,1488,547,350,168,75,722,575,232,90,127
"902",902,342,1491,518,337,158,70,690,574,231,87,127
"903",903,408,1524,545,349,165,76,721,623,235,87,127
"904",904,443,1550,540,379,175,71,733,653,247,88,127
"905",905,460,1567,573,380,142,86,755,681,248,94,127
"906",906,207,1220,490,274,133,59,540,487,182,68,128
"907",907,276,1292,522,306,135,60,666,628,204,74,128
"908",908,309,1331,500,309,145,63,631,619,202,83,128
"909",909,267,1331,507,297,143,65,597,529,192,74,128
"910",910,285,1333,511,308,151,60,613,602,204,85,128
"911",911,305,1351,496,321,147,67,663,618,214,86,128
"912",912,298,1359,521,299,159,62,657,560,216,79,128
"913",913,341,1360,529,352,150,67,650,589,214,81,128
"914",914,334,1369,530,348,153,70,728,620,218,89,128
"915",915,288,1407,497,322,152,67,659,578,224,78,128
"916",916,289,1408,522,314,145,69,627,516,210,73,128
"917",917,331,1440,519,337,159,68,677,590,220,82,128
"918",918,493,1482,518,395,175,74,821,796,240,87,128
